model,axis,motor,controller,reference,hz,inertia_scale,gravity_ff_scale,nominal_inertia_kg_m2,plant_inertia_kg_m2,required_peak_nm,available_wire_nm,status,reason,samples,evaluation_samples,rms_rad,rms_after_1s_rad,peak_rad,peak_after_1s_rad,peak_request_nm,peak_wire_nm,peak_actuator_nm,saturation_ratio,adapter_clamp_ratio,wire_total_variation_nm,wire_total_variation_nm_per_s,min_angle_rad,max_angle_rad,final_error_rad,joint_min_rad,joint_max_rad,gravity_sin_nm,gravity_cos_nm
rmoss_rmua19,yaw,GM6020,linear,hold,1000,0.5,1,0.00608000833333,0.00304000416667,0.0499999998421,0.999970092773,PASS,OK,6000,5000,0.00338886013,0.00217947058,0.03,0.00370546401,0.159081116,0.159018311,0.141379322,0,0,128.242026,21.373671,-0.0037074962,0.03,-0.00212794404,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,hold,1000,0.5,0.8,0.00608000833333,0.00304000416667,0.0499999998421,0.999970092773,PASS,OK,6000,5000,0.00338886013,0.00217947058,0.03,0.00370546401,0.159081116,0.159018311,0.141379322,0,0,128.242026,21.373671,-0.0037074962,0.03,-0.00212794404,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,hold,1000,0.5,1,0.00608000833333,0.00304000416667,0.0499999998421,0.999970092773,PASS,OK,6000,5000,0.00262398331,0.00148450969,0.03,0.00282325933,0.1902152,0.190224976,0.164744123,0,0,145.371365,24.2285608,-0.00282332362,0.03,-0.000158457462,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,hold,1000,0.5,0.8,0.00608000833333,0.00304000416667,0.0499999998421,0.999970092773,PASS,OK,6000,5000,0.00262398331,0.00148450969,0.03,0.00282325933,0.1902152,0.190224976,0.164744123,0,0,145.371365,24.2285608,-0.00282332362,0.03,-0.000158457462,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,sine,1000,0.5,1,0.00608000833333,0.00304000416667,0.054123569441,0.999970092773,PASS,OK,6000,5000,0.00201688304,0.00219357974,0.0040210411,0.0040210411,0.163757533,0.163767151,0.145587321,0,0,128.04651,21.3410849,-0.103145238,0.100093576,-0.00202821903,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,sine,1000,0.5,0.8,0.00608000833333,0.00304000416667,0.054123569441,0.999970092773,PASS,OK,6000,5000,0.00201688304,0.00219357974,0.0040210411,0.0040210411,0.163757533,0.163767151,0.145587321,0,0,128.04651,21.3410849,-0.103145238,0.100093576,-0.00202821903,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,sine,1000,0.5,1,0.00608000833333,0.00304000416667,0.054123569441,0.999970092773,PASS,OK,6000,5000,0.0013814954,0.00149279108,0.00295233829,0.00295233829,0.192608654,0.192667236,0.165172814,0,0,145.603786,24.2672977,-0.102361945,0.100374445,-0.00135805572,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,sine,1000,0.5,0.8,0.00608000833333,0.00304000416667,0.054123569441,0.999970092773,PASS,OK,6000,5000,0.0013814954,0.00149279108,0.00295233829,0.00295233829,0.192608654,0.192667236,0.165172814,0,0,145.603786,24.2672977,-0.102361945,0.100374445,-0.00135805572,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,hold,1000,1,1,0.00608000833333,0.00608000833333,0.0499999998421,0.999970092773,PASS,OK,6000,5000,0.00328110611,0.00184265522,0.03,0.00305324472,0.143562973,0.143550659,0.132109253,0,0,6.65054736,1.10842456,-0.00305326177,0.03,-0.00130247786,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,hold,1000,1,0.8,0.00608000833333,0.00608000833333,0.0499999998421,0.999970092773,PASS,OK,6000,5000,0.00328110611,0.00184265522,0.03,0.00305324472,0.143562973,0.143550659,0.132109253,0,0,6.65054736,1.10842456,-0.00305326177,0.03,-0.00130247786,-0.5,0.5,0,0
